Modality1,StimulusType1,WordCue1,WordCue1Swedish,Stimulus_file1,Modality2,StimulusType2,WordCue2,WordCue2Swedish,Stimulus_file2,Random,OdorTrigger,Modality,Stimulustype,Target,Cue,SoundFile,Match,ImageFile,Correct,SmellText,nRepOne,nRepTwo,nRepThree,nRepFour,SwedishSoundFile,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,VisualPracticeLoop.thisRepN,VisualPracticeLoop.thisTrialN,VisualPracticeLoop.thisN,VisualPracticeLoop.thisIndex,OlfactoryPracticeLoop.thisRepN,OlfactoryPracticeLoop.thisTrialN,OlfactoryPracticeLoop.thisN,OlfactoryPracticeLoop.thisIndex,routineController.thisRepN,routineController.thisTrialN,routineController.thisN,routineController.thisIndex,routineOne.thisRepN,routineOne.thisTrialN,routineOne.thisN,routineOne.thisIndex,routineTwo.thisRepN,routineTwo.thisTrialN,routineTwo.thisN,routineTwo.thisIndex,innerTwo.thisRepN,innerTwo.thisTrialN,innerTwo.thisN,innerTwo.thisIndex,routineThree.thisRepN,routineThree.thisTrialN,routineThree.thisN,routineThree.thisIndex,routineFour.thisRepN,routineFour.thisTrialN,routineFour.thisN,routineFour.thisIndex,innerFour.thisRepN,innerFour.thisTrialN,innerFour.thisN,innerFour.thisIndex,innerOne.thisRepN,innerOne.thisTrialN,innerOne.thisN,innerOne.thisIndex,innerThree.thisRepN,innerThree.thisTrialN,innerThree.thisN,innerThree.thisIndex,RatingInstructions_1_KeyResponse.keys,RatingInstructions_1_KeyResponse.rt,RatingInstructions_2_KeyResponse.keys,RatingInstructions_2_KeyResponse.rt,RatingInstructions_3_KeyResponse.keys,RatingInstructions_3_KeyResponse.rt,IntensitySlider_VisualRating.response,IntensitySlider_VisualRating.rt,QualitySlider_VisualRating.response,QualitySlider_VisualRating.rt,FruitSlider_VisualRating.response,FruitSlider_VisualRating.rt,FlowerSlider_VisualRating.response,FlowerSlider_VisualRating.rt,IntensitySlider_OlfactoryRating.response,IntensitySlider_OlfactoryRating.rt,QualitySlider_OlfactoryRating.response,QualitySlider_OlfactoryRating.rt,FruitSlider_OlfactoryRating.response,FruitSlider_OlfactoryRating.rt,FlowerSlider_OlfactoryRating.response,FlowerSlider_OlfactoryRating.rt,VisualPractice_KeyResponse.keys,VisualPractice_KeyResponse.rt,KeyResponse_VisualPractice.keys,KeyResponse_VisualPractice.corr,KeyResponse_VisualPractice.rt,OlfactoryPractice_KeyResponse.keys,OlfactoryPractice_KeyResponse.rt,KeyResponse_OlfactoryPractice.keys,KeyResponse_OlfactoryPractice.corr,KeyResponse_OlfactoryPractice.rt,ExperimentInstructions_KeyResponse.keys,ExperimentInstructions_KeyResponse.rt,Wait_OlfactoryCategory_Instructions.started,Wait_OlfactoryCategory_Instructions.stopped,Instructions_OlfactoryCategory_KeyResponse.keys,Instructions_OlfactoryCategory_KeyResponse.rt,KeyResponse_OlfactoryCategory.keys,KeyResponse_OlfactoryCategory.corr,KeyResponse_OlfactoryCategory.rt,SPACEBAR2_OlfactoryCategory.keys,SPACEBAR2_OlfactoryCategory.rt,SPACEBAR_VisualStimuli.keys,SPACEBAR_VisualStimuli.rt,Two_VisualObject.started,Two_VisualObject.stopped,KeyResponse_VisualObject.keys,KeyResponse_VisualObject.corr,KeyResponse_VisualObject.rt,VisualObject_Feedbacktext.started,VisualObject_Feedbacktext.stopped,SPACEBAR2_VisualStimuli.keys,SPACEBAR2_VisualStimuli.rt,SPACEBAR_VisualCategory.keys,SPACEBAR_VisualCategory.rt,KeyResponse_VisualCategory.keys,KeyResponse_VisualCategory.corr,KeyResponse_VisualCategory.rt,SPACEBAR2_VisualCategory.keys,SPACEBAR2_VisualCategory.rt,Instructions_OlfactoryObject_KeyResponse.keys,Instructions_OlfactoryObject_KeyResponse.rt,KeyResponse_OlfactoryObject.keys,KeyResponse_OlfactoryObject.corr,KeyResponse_OlfactoryObject.rt,SPACEBAR2_OlfactoryObject.keys,SPACEBAR2_OlfactoryObject.rt,participant,session,date,expName,psychopyVersion,frameRate
Visual,Lemon,Lemon,Citron,C:\Users\subic\Desktop\Experiment 1\Images\lemon.jpg,Olfactory,Lilac,Lilac,Syrén,Lilac,0.929012157,4,,,,,,,,,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.628125,9.328163066,99.690625,11.01250223,100,12.21389995,1,13.7977896,75.353125,12.22245595,64.009375,21.25617942,6.56875,22.94056326,93.503125,25.22473457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,81.71425949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.242473894,,VisualStimulus,Flower,Lilac,Lilac,C:\Users\subic\Desktop\Experiment 1\Sounds\LILAC.wav,yes,C:\Users\subic\Desktop\Experiment 1\Images\lilac.jpg,n,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.046219304,,VisualStimulus,Fruit,Pear,Pear,C:\Users\subic\Desktop\Experiment 1\Sounds\PEAR.wav,yes,C:\Users\subic\Desktop\Experiment 1\Images\pear.jpg,n,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.906120518,,VisualStimulus,Flower,Lavender,Lavender,C:\Users\subic\Desktop\Experiment 1\Sounds\LAVENDER.wav,yes,C:\Users\subic\Desktop\Experiment 1\Images\lavender.jpg,n,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.417224297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.084246868,,VisualStimulus,Fruit,Lemon,Lemon,C:\Users\subic\Desktop\Experiment 1\Sounds\LEMON.wav,yes,C:\Users\subic\Desktop\Experiment 1\Images\lemon.jpg,n,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.633667922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.96654883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.263244177,2,OlfactoryStimulus,Fruit,Pear,Pear,C:\Users\subic\Desktop\Experiment 1\Sounds\PEAR.wav,yes,None,n,Pear,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,2.433645582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.166173162,8,OlfactoryStimulus,Flower,Lavender,Lavender,C:\Users\subic\Desktop\Experiment 1\Sounds\LAVENDER.wav,yes,None,n,Lavender,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,2.783652375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.99592182,1,OlfactoryStimulus,Fruit,Lemon,Lemon,C:\Users\subic\Desktop\Experiment 1\Sounds\LEMON.wav,yes,None,n,Lemon,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,2.217012978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.368748025,4,OlfactoryStimulus,Flower,Lilac,Lilac,C:\Users\subic\Desktop\Experiment 1\Sounds\LILAC.wav,yes,None,n,Lilac,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,2.350319544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,36.41555246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.02907228,8,OlfactoryCategory,Flower,Lavender,Fruit,C:\Users\subic\Desktop\Experiment 1\Sounds\FRUIT.wav,no,,m,Lavender,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.5999064,None,space,69.71469662,m,1,1.567029431,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.203406153,1,OlfactoryCategory,Fruit,Lemon,Fruit,C:\Users\subic\Desktop\Experiment 1\Sounds\FRUIT.wav,yes,,n,Lemon,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.950306261,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.976562463,8,OlfactoryCategory,Flower,Lavender,Fruit,C:\Users\subic\Desktop\Experiment 1\Sounds\FRUIT.wav,no,,m,Lavender,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,1,1.316722867,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.986057912,1,OlfactoryCategory,Fruit,Lemon,Flower,C:\Users\subic\Desktop\Experiment 1\Sounds\FLOWER.wav,no,,m,Lemon,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,1,1.383651167,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.031175365,2,OlfactoryCategory,Fruit,Pear,Fruit,C:\Users\subic\Desktop\Experiment 1\Sounds\FRUIT.wav,yes,,n,Pear,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.333702034,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.808209062,4,OlfactoryCategory,Flower,Lilac,Flower,C:\Users\subic\Desktop\Experiment 1\Sounds\FLOWER.wav,yes,,n,Lilac,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.083525885,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.877720127,1,OlfactoryCategory,Fruit,Lemon,Fruit,C:\Users\subic\Desktop\Experiment 1\Sounds\FRUIT.wav,yes,,n,Lemon,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.366924979,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.052586423,8,OlfactoryCategory,Flower,Lavender,Flower,C:\Users\subic\Desktop\Experiment 1\Sounds\FLOWER.wav,yes,,n,Lavender,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.2837046,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.400749774,2,OlfactoryCategory,Fruit,Pear,Fruit,C:\Users\subic\Desktop\Experiment 1\Sounds\FRUIT.wav,yes,,n,Pear,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.117007242,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.031773566,8,OlfactoryCategory,Flower,Lavender,Fruit,C:\Users\subic\Desktop\Experiment 1\Sounds\FRUIT.wav,no,,m,Lavender,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,1,0.96705177,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.261089555,4,OlfactoryCategory,Flower,Lilac,Fruit,C:\Users\subic\Desktop\Experiment 1\Sounds\FRUIT.wav,no,,m,Lilac,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,1,0.966755924,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.829045184,8,OlfactoryCategory,Flower,Lavender,Flower,C:\Users\subic\Desktop\Experiment 1\Sounds\FLOWER.wav,yes,,n,Lavender,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.233626262,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
,,,,,,,,,,0.652711568,1,OlfactoryCategory,Fruit,Lemon,Fruit,C:\Users\subic\Desktop\Experiment 1\Sounds\FRUIT.wav,yes,,n,Lemon,0,2,0,0,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.600087546,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,2019_Jul_11_1407,Experiment 1_July3,3.1.0,59.9887358
